NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;No;65.8858;1.06498;61.8657;31.1719;2412;1721.1770;80715;52465;2.2397;222;31;18;1268;1144;1373;1144;66742;45641;27900;43707
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;--;;;0.0000;0.0000;72;0.0000;8519;12;0.4371;11;3;0;45;27;37;0;8453;11;541;614
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;Si;;;161.7021;55.3191;39;6353.1914;3784;695;1.3397;29;1;9;29;10;30;9;2424;487;87;154
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;--;;;0.0000;0.0000;84;0.0000;8292;12;0.4854;13;4;0;48;36;39;1;8230;11;589;599
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;173.0496;56.7375;40;6537.5886;3929;680;1.3132;27;1;8;30;10;31;9;2566;480;99;164
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;No;64.8376;1.02933;62.9900;30.7066;2376;1659.4922;78668;49739;2.2330;216;35;22;1222;1154;1281;1139;65066;43310;30195;45014
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;No;64.5003;1.00097;64.4375;29.9958;2321;1606.2596;78053;46235;2.2375;218;30;26;1180;1141;1222;1121;64472;40243;31041;46237
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;--;;;0.0000;0.0000;86;0.0000;8260;11;0.4997;15;6;0;47;39;40;1;8195;10;595;595
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;Si;;;175.8865;49.6453;35;6696.4539;4127;594;1.3087;23;1;6;29;6;34;5;2585;395;100;164
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;No;62.9841;0.966972;65.1353;29.7374;2301;1590.7511;77736;45352;2.2593;225;28;30;1181;1120;1232;1109;64184;39432;31239;46506
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;--;;;0.0000;0.0000;84;0.0000;8173;12;0.5175;15;7;0;47;37;41;1;8105;11;613;592
CATALUNYA;GLOBAL;2021-09-19;2021-09-25;Si;;;173.0496;48.2269;34;6692.1985;4105;613;1.2052;27;1;5;29;5;32;4;2575;412;99;162
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;--;;;0.0000;0.0000;90;0.0000;8228;11;0.6002;18;7;0;54;36;48;1;8154;10;617;598
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;Si;;;177.3049;51.0638;36;6686.5248;4106;608;1.2713;31;1;4;31;5;34;4;2579;410;101;164
CATALUNYA;GLOBAL;2021-09-18;2021-09-24;No;60.7928;0.926893;65.5877;29.6857;2297;1587.4039;78443;44386;2.2575;230;26;33;1176;1121;1236;1096;64758;38544;32092;47720
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;No;58.5631;0.870763;67.2548;29.3109;2268;1621.8068;81552;43939;2.2132;243;31;30;1179;1089;1268;1066;67364;38095;37266;49417
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;--;;;0.0000;0.0000;96;0.0000;8473;10;0.6422;15;5;0;57;39;53;1;8399;9;705;627
CATALUNYA;GLOBAL;2021-09-17;2021-09-23;Si;;;171.6312;72.3404;51;7195.7446;4510;563;1.6504;43;1;7;45;6;49;5;2877;395;97;150
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;--;;;0.0000;0.0000;106;0.0000;8526;10;0.7096;18;4;0;65;41;59;1;8448;8;705;644
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;Si;;;171.6312;90.7801;64;8035.4609;5144;521;1.8008;40;1;11;56;8;59;7;3287;378;86;118
CATALUNYA;GLOBAL;2021-09-16;2021-09-22;No;59.5481;0.85788;69.4131;30.1768;2335;1609.7102;83127;41428;2.2838;253;34;29;1232;1103;1300;1086;68572;35904;39207;49432
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;No;61.0811;0.850511;71.8169;30.6937;2375;1630.8792;86882;39311;2.3099;253;42;35;1241;1134;1314;1122;71412;34048;41578;51335
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;--;;;0.0000;0.0000;106;0.0000;8504;9;0.6762;22;43;0;61;45;56;1;8421;8;767;674
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;Si;;;191.4893;106.3829;75;8368.7943;5359;541;2.0125;41;1;10;64;11;66;11;3443;383;76;98
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;No;64.6132;0.855802;75.5001;32.2833;2498;1621.5224;88248;37221;2.4912;261;38;32;1308;1190;1414;1187;72193;32215;44001;51948
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;--;;;0.0000;0.0000;102;0.0000;8638;11;0.7123;29;43;0;65;37;61;0;8555;9;776;701
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;Si;;;201.4184;116.3120;82;8490.7801;5387;599;2.3219;49;1;13;69;13;75;13;3372;418;69;83
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;--;;;0.0000;0.0000;104;0.0000;8561;10;0.7306;38;42;0;67;37;62;0;8478;8;812;742
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;Si;;;214.1843;126.2411;89;8765.9574;5535;645;2.2910;55;1;14;73;16;75;16;3525;447;63;74
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;No;68.2461;0.860048;79.3514;34.4416;2665;1586.2408;87644;35095;2.7374;266;42;32;1389;1276;1498;1288;71495;30280;46690;54034
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;No;70.5239;0.867008;81.3417;35.3979;2739;1581.1488;87517;34828;2.7993;271;43;33;1426;1313;1519;1321;71399;30055;47402;56063
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;--;;;0.0000;0.0000;111;0.0000;8609;11;0.7379;39;42;0;67;44;63;0;8529;9;808;776
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;Si;;;215.6028;124.8226;88;8862.4113;5601;647;2.2637;49;1;15;73;15;76;15;3578;442;63;75
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;--;;;0.0000;0.0000;119;0.0000;8335;11;0.7981;40;42;0;71;48;66;0;8261;9;810;768
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;Si;;;212.7659;126.2411;89;8872.3404;5565;690;2.2829;46;1;18;73;16;76;16;3560;470;60;75
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;No;72.2615;0.867017;83.3448;35.9020;2778;1564.6324;86590;34477;2.8624;277;49;35;1449;1329;1526;1346;70579;29758;48118;54833
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;No;75.473;0.873843;86.3690;37.9439;2936;1557.5243;86843;33674;3.0773;279;58;43;1547;1389;1654;1411;70593;29008;50758;63112
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;--;;;0.0000;0.0000;131;0.0000;8686;16;0.8694;49;43;0;81;50;75;0;8613;14;815;882
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;208.5106;99.2907;70;9022.6950;5664;697;1.8119;38;0;16;54;16;57;16;3551;478;60;94
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;Si;;;194.3262;80.8510;57;8784.3971;5509;684;1.5824;36;0;12;44;13;48;13;3400;455;61;94
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;No;78.4996;0.883503;88.8503;39.2363;3036;1592.7414;90484;32758;3.1524;283;62;52;1571;1465;1718;1477;73119;28231;55318;67973
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;--;;;0.0000;0.0000;134;0.0000;8635;14;0.8634;50;44;0;80;54;74;0;8558;13;857;943
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;--;;;0.0000;0.0000;143;0.0000;8787;15;0.9398;47;6;1;89;54;81;1;8711;14;870;967
